Airline,CS100,CS300,*CS100,*CS300
airBaltic,0,50,0,8
Air Canada,0,45,0,0
Abdel Hadi Abdullah Al-Qahtani & Sons Co.,0,16,0,0
Braathens Aviation,10,0,0,0
Delta,75,0,0,0
Egyptair,0,12,0,0
Falcon,0,2,0,0
Gulf Air,10,0,0,0
Ilyushin Finance Co.,0,14,0,0
Iraqi Airways,0,5,0,0
Korean Air,0,10,0,4
Lease Corporation International,3,17,0,0
Macquarie,0,40,0,0
Odyssey,10,0,0,0
PrivatAir,5,0,0,0
Republic Airlines,0,40,0,0
State Transport Leasing Company,0,6,0,0
Swiss,10,20,8,12
Tanzania Government Flight Agency,0,2,0,0
